date,1. open,2. high,3. low,4. close,5. volume
2019-08-14 10:51:00,205.13,205.15,204.82,204.87,70203.0
2019-08-14 10:50:00,205.16,205.204,204.95,205.1599,85616.0
2019-08-14 10:49:00,205.24,205.41,205.12,205.15,49511.0
2019-08-14 10:48:00,205.16,205.36,205.15,205.31,59180.0
2019-08-14 10:47:00,205.1399,205.24,205.05,205.145,59064.0
2019-08-14 10:46:00,205.45,205.48,205.1,205.12,74634.0
2019-08-14 10:45:00,205.31,205.5599,205.26,205.44,71278.0
2019-08-14 10:44:00,205.15,205.43,205.15,205.35,75385.0
2019-08-14 10:43:00,205.02,205.26,204.93,205.13,108291.0
2019-08-14 10:42:00,204.76,205.065,204.74,205.03,70227.0
2019-08-14 10:41:00,204.87,204.94,204.67,204.75,127968.0
2019-08-14 10:40:00,205.25,205.25,204.8833,204.8965,102650.0
2019-08-14 10:39:00,205.13,205.34,205.1028,205.2636,46536.0
2019-08-14 10:38:00,205.35,205.4206,205.09,205.15,95726.0
2019-08-14 10:37:00,205.33,205.425,205.25,205.35,0.0
2019-08-14 10:36:00,205.44,205.51,205.22,205.34,51623.0
2019-08-14 10:35:00,205.4315,205.584,205.34,205.447,72090.0
2019-08-14 10:34:00,205.31,205.49,205.22,205.4188,50460.0
2019-08-14 10:33:00,205.38,205.51,205.2201,205.3,60129.0
2019-08-14 10:32:00,205.53,205.53,205.18,205.385,103914.0
2019-08-14 10:31:00,205.61,205.79,205.35,205.54,106693.0
2019-08-14 10:30:00,205.56,205.72,205.5,205.61,93006.0
2019-08-14 10:29:00,205.63,205.6628,205.46,205.57,85681.0
2019-08-14 10:28:00,205.4501,205.65,205.275,205.62,85457.0
2019-08-14 10:27:00,205.29,205.56,205.26,205.46,128383.0
2019-08-14 10:26:00,205.24,205.26,205.08,205.26,63276.0
2019-08-14 10:25:00,205.1,205.4,205.0834,205.25,92717.0
2019-08-14 10:24:00,205.23,205.35,205.03,205.11,77561.0
2019-08-14 10:23:00,205.3158,205.3274,205.1129,205.235,56373.0
2019-08-14 10:22:00,205.17,205.45,205.16,205.33,106298.0
2019-08-14 10:21:00,204.95,205.2,204.8907,205.2,85547.0
2019-08-14 10:20:00,205.003,205.15,204.9,204.9304,73544.0
2019-08-14 10:19:00,204.9404,205.15,204.925,204.9963,57110.0
2019-08-14 10:18:00,205.0233,205.05,204.91,204.98,55645.0
2019-08-14 10:17:00,205.32,205.37,205.0201,205.05,85437.0
2019-08-14 10:16:00,205.105,205.485,205.09,205.33,97533.0
2019-08-14 10:15:00,205.05,205.18,204.98,205.13,67273.0
2019-08-14 10:14:00,204.92,205.2,204.79,205.07,62931.0
2019-08-14 10:13:00,204.98,205.17,204.78,204.85,91820.0
2019-08-14 10:12:00,205.23,205.35,204.95,205.02,79812.0
2019-08-14 10:11:00,205.37,205.37,205.021,205.18,66936.0
2019-08-14 10:10:00,205.33,205.51,205.26,205.39,114501.0
2019-08-14 10:09:00,205.1401,205.382,205.08,205.35,75268.0
2019-08-14 10:08:00,205.27,205.33,205.09,205.14,85758.0
2019-08-14 10:07:00,204.9629,205.5,204.9,205.2699,144238.0
